,method,rank,feature,occurence,fidelity
0,ko_adv_ko,1,ForeignWorker,0.010101010101010102,0.4444444444444444
1,ko_adv_ko,1,JobClassIsSkilled,0.010101010101010102,0.4444444444444444
2,ko_adv_ko,1,LoanDuration,0.010101010101010102,0.4444444444444444
3,ko_adv_ko,1,LoanRateAsPercentOfIncome,0.9393939393939394,0.4444444444444444
4,ko_adv_ko,1,Nothing shown,0.030303030303030304,0.4444444444444444
0,ko_adv_ko,2,Age,0.04040404040404041,0.4444444444444444
1,ko_adv_ko,2,Gender,0.010101010101010102,0.4444444444444444
2,ko_adv_ko,2,HasTelephone,0.010101010101010102,0.4444444444444444
3,ko_adv_ko,2,LoanAmount,0.04040404040404041,0.4444444444444444
4,ko_adv_ko,2,LoanDuration,0.010101010101010102,0.4444444444444444
5,ko_adv_ko,2,Nothing shown,0.8383838383838383,0.4444444444444444
6,ko_adv_ko,2,SavingsAccountBalance_geq_100,0.010101010101010102,0.4444444444444444
7,ko_adv_ko,2,Single,0.010101010101010102,0.4444444444444444
8,ko_adv_ko,2,YearsAtCurrentHome,0.010101010101010102,0.4444444444444444
9,ko_adv_ko,2,YearsAtCurrentJob_geq_4,0.020202020202020204,0.4444444444444444
0,ko_adv_ko,3,Age,0.010101010101010102,0.4444444444444444
1,ko_adv_ko,3,CheckingAccountBalance_geq_0,0.010101010101010102,0.4444444444444444
2,ko_adv_ko,3,CriticalAccountOrLoansElsewhere,0.010101010101010102,0.4444444444444444
3,ko_adv_ko,3,LoanAmount,0.020202020202020204,0.4444444444444444
4,ko_adv_ko,3,LoanDuration,0.030303030303030304,0.4444444444444444
5,ko_adv_ko,3,Nothing shown,0.8888888888888888,0.4444444444444444
6,ko_adv_ko,3,NumberOfLiableIndividuals,0.010101010101010102,0.4444444444444444
7,ko_adv_ko,3,Unemployed,0.010101010101010102,0.4444444444444444
8,ko_adv_ko,3,YearsAtCurrentHome,0.010101010101010102,0.4444444444444444
